sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_rouche_ratio,dual_weighted_rouche_ratio,computed_primal_dual_rouche_ratio,deep_primal_residual_to_forcing,dual_residual_to_rhs,one_sided_resolvent_coefficient,primal_dual_resolvent_coefficient,one_sided_resolvent_budget,primal_dual_resolvent_budget,budget_gain_factor,primal_correction_reconstruction_defect,corrected_feshbach_smallest_singular,corrected_determinant_phase
0.01,19,3.730641276137879,-0.54161018176376,-0.6966777443091541,36,52,44,0.0,1.3987129438393403e-16,1.3987129438393403e-16,8.1154334047137985e-16,4.288499569902474e-16,1.3499367963972e-15,4.37771618365772e-31,740775421981877.8,2.2842960988038935e+30,3083655357641950.0,0.0,0.3053030473332342,-2.7552652719314135
0.01,19,3.730641276137879,-0.54161018176376,-0.6966777443091541,36,52,52,0.0,1.3987129438393403e-16,1.3987129438393403e-16,8.1154334047137985e-16,4.288499569902474e-16,1.3499367963972e-15,4.37771618365772e-31,740775421981877.8,2.2842960988038935e+30,3083655357641950.0,0.0,0.3053030473332342,-2.7552652719314135
0.01,20,3.9269908169872414,-0.5089650928945346,-0.736455900189438,36,52,36,6.347161851881524e-20,1.270093556942931e-16,1.2699499035628637e-16,7.914382301361209e-16,4.767875603791616e-16,1.3272492576090939e-15,4.384898783933927e-31,753437980294221.0,2.2805543509098892e+30,3026864069182339.5,5.066112382300369e-20,0.30699698508863316,-2.4955584672666085
0.01,20,3.9269908169872414,-0.5089650928945346,-0.736455900189438,36,52,44,6.347161851881524e-20,1.270093556942931e-16,1.2699499035628637e-16,7.914382301361209e-16,4.767875603791616e-16,1.3272492576090939e-15,4.384898783933927e-31,753437980294221.0,2.2805543509098892e+30,3026864069182339.5,5.066112382300369e-20,0.30699698508863316,-2.4955584672666085
0.01,20,3.9269908169872414,-0.5089650928945346,-0.736455900189438,36,52,52,6.347161851881524e-20,1.270093556942931e-16,1.2699499035628637e-16,7.914382301361209e-16,4.767875603791616e-16,1.3272492576090939e-15,4.384898783933927e-31,753437980294221.0,2.2805543509098892e+30,3026864069182339.5,5.066112382300369e-20,0.30699698508863316,-2.4955584672666085
0.01,21,4.123340357836604,-0.46918693701425085,-0.7691009890586632,36,52,36,0.0,1.4907104242293298e-16,1.4907104242293298e-16,7.766720964398286e-16,4.596193848642698e-16,1.2825545676632128e-15,4.638395931203665e-31,779693921188849.5,2.1559177242131196e+30,2765082124695615.5,0.0,0.30450831807809786,-2.232588705571139
0.01,21,4.123340357836604,-0.46918693701425085,-0.7691009890586632,36,52,44,0.0,1.4907104242293298e-16,1.4907104242293298e-16,7.766720964398286e-16,4.596193848642698e-16,1.2825545676632128e-15,4.638395931203665e-31,779693921188849.5,2.1559177242131196e+30,2765082124695615.5,0.0,0.30450831807809786,-2.232588705571139
0.01,21,4.123340357836604,-0.46918693701425085,-0.7691009890586632,36,52,52,0.0,1.4907104242293298e-16,1.4907104242293298e-16,7.766720964398286e-16,4.596193848642698e-16,1.2825545676632128e-15,4.638395931203665e-31,779693921188849.5,2.1559177242131196e+30,2765082124695615.5,0.0,0.30450831807809786,-2.232588705571139
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,36,52,36,5.867401166666854e-23,1.8727410363226092e-16,1.872740925965236e-16,7.470717374065222e-16,4.430247960643158e-16,1.2809821501587896e-15,4.757016135243931e-31,780651002729461.0,2.1021580998878023e+30,2692827002767992.5,2.9103573790606174e-23,0.2978751206417009,-1.9681413903073521
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,36,52,44,5.867401166666854e-23,1.8727410363226092e-16,1.872740925965236e-16,7.470717374065222e-16,4.430247960643158e-16,1.2809821501587896e-15,4.757016135243931e-31,780651002729461.0,2.1021580998878023e+30,2692827002767992.5,2.9103573790606174e-23,0.2978751206417009,-1.9681413903073521
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,36,52,52,5.867401166666854e-23,1.8727410363226092e-16,1.872740925965236e-16,7.470717374065222e-16,4.430247960643158e-16,1.2809821501587896e-15,4.757016135243931e-31,780651002729461.0,2.1021580998878023e+30,2692827002767992.5,2.9103573790606174e-23,0.2978751206417009,-1.9681413903073521
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,36,52,36,0.0,1.2281565317701306e-16,1.2281565317701306e-16,7.892824091019897e-16,4.793926490869261e-16,1.3388858298190879e-15,4.6310180645974445e-31,746889673285377.4,2.1593524059961227e+30,2891126337973963.0,0.0,0.2871669418379694,-1.7039724923742625
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,36,52,44,0.0,1.2281565317701306e-16,1.2281565317701306e-16,7.892824091019897e-16,4.793926490869261e-16,1.3388858298190879e-15,4.6310180645974445e-31,746889673285377.4,2.1593524059961227e+30,2891126337973963.0,0.0,0.2871669418379694,-1.7039724923742625
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,36,52,52,0.0,1.2281565317701306e-16,1.2281565317701306e-16,7.892824091019897e-16,4.793926490869261e-16,1.3388858298190879e-15,4.6310180645974445e-31,746889673285377.4,2.1593524059961227e+30,2891126337973963.0,0.0,0.2871669418379694,-1.7039724923742625
0.01,24,4.71238898038469,-0.32335044015045417,-0.8133400067312085,36,52,36,0.0,9.861793442119965e-17,9.861793442119965e-17,8.123322077030999e-16,4.787684072695997e-16,1.417498762448847e-15,6.227161112735854e-31,705467988044248.4,1.6058681988407038e+30,2276316184512656.5,0.0,0.27248918913097625,-1.4418867103088981
