sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-0.8507009237595811,1.2358880985273714e-25,2.961978267243802e-27,2.961978267260801e-27,1.0947007461940286e-05
0.001,-0.8476127619820721,2.9135663231061493e-25,5.893247399157001e-27,5.8932473991973395e-27,1.1807598369929464e-05
0.001,-0.8445246002045668,6.762291837602393e-25,1.165774470390487e-26,1.1657744703999936e-26,1.2732339346035327e-05
0.001,-0.8414364384270578,1.5454533442319514e-24,2.292847912240902e-26,2.292847912263153e-26,1.3725725589845818e-05
0.001,-0.838348276649549,3.478398742457239e-24,4.483844464202333e-26,4.4838444642540593e-26,1.4792544806386592e-05
0.001,-0.8352601148720401,7.711360121750396e-24,8.718747865713874e-26,8.71874786583331e-26,1.5937894552900047e-05
0.001,-0.8321719530945312,1.6841296559932792e-23,1.6857751763408615e-25,1.6857751763682538e-25,1.7167200493627627e-05
0.001,-0.8290837913170258,3.6238962070746316e-23,3.241162293607133e-25,3.241162293669536e-25,1.8486235601872693e-05
0.001,-0.825995629539517,7.68408579438328e-23,6.196851418430784e-25,6.196851418571999e-25,1.990114034977681e-05
0.001,-0.8229074677620081,1.6057682975402038e-22,1.1782138611630083e-24,1.1782138611947536e-24,2.1418443927359144e-05
0.001,-0.8198193059844991,3.30752596702288e-22,2.2277858007358288e-24,2.227785800806723e-24,2.304508653356417e-05
0.001,-0.8167311442069903,6.715946751789491e-22,4.189213341326931e-24,4.189213341484217e-24,2.4788442783144152e-05
0.001,-0.813642982429485,1.3444641837955203e-21,7.834561844541905e-24,7.834561844888592e-24,2.665634627434841e-05
0.001,-0.810554820651976,2.653917694334724e-21,1.4572482630454795e-23,1.4572482631214008e-23,2.8657115363499353e-05
0.001,-0.8074666588744671,5.166397181870398e-21,2.695891129679879e-23,2.69589112984507e-23,3.079958019357313e-05
0.001,-0.8043784970969583,9.920362771927327e-21,4.9606028519704346e-23,4.960602852327561e-23,3.3093111025026266e-05
0.001,-0.8012903353194494,1.8793082620409053e-20,9.079107767966488e-23,9.079107768733644e-23,3.554764791806606e-05
0.001,-0.798202173541944,3.51322038945558e-20,1.6528816132408669e-22,1.6528816134046196e-22,3.8173731816585306e-05
0.001,-0.7951140117644351,6.482908498462567e-20,2.99325292184393e-22,2.9932529221912675e-22,4.098253708493889e-05
0.001,-0.7920258499869263,1.1811999229719654e-19,5.392142463370357e-22,5.392142464102487e-22,4.398590554958017e-05
0.001,-0.7889376882094173,2.1257214663385538e-19,9.662927640665383e-22,9.662927642198987e-22,4.7196382098524384e-05
0.001,-0.7858495264319084,3.7797620603892996e-19,1.7226562994141093e-21,1.722656299733368e-21,5.062725189229868e-05
0.001,-0.782761364654403,6.642723095861031e-19,3.055231772847122e-21,3.0552317735076495e-21,5.4292579240820213e-05
0.001,-0.7796732028768942,1.1542526728353704e-18,5.390863585821185e-21,5.3908635871794166e-21,5.8207248201305964e-05
0.001,-0.7765850410993853,1.98371153350313e-18,9.463552160528698e-21,9.463552163304612e-21,6.238700495281718e-05
0.001,-0.7734968793218764,3.3731013431722783e-18,1.652892620678356e-20,1.652892621242257e-20,6.684850200367285e-05
0.001,-0.7704087175443676,5.6768186115814106e-18,2.8723850142415054e-20,2.872385015380126e-20,7.160934428822775e-05
0.001,-0.7673205557668622,9.459298093280414e-18,4.966621976691435e-20,4.966621978976772e-20,7.668813720989103e-05
0.001,-0.7642323939893533,1.5611596870030637e-17,8.54501552096275e-20,8.545015525522392e-20,8.210453668746373e-05
0.001,-0.7611442322118444,2.552876333317326e-17,1.4628867943124211e-19,1.4628867952167695e-19,8.787930126183421e-05
0.001,-0.7580560704343355,4.137797057320002e-17,2.492111543797019e-19,2.4921115455801376e-19,9.403434632022705e-05
0.001,-0.7549679086568266,6.650153551579466e-17,4.224699967379813e-19,4.2246999708750664e-19,0.00010059280049481075
0.001,-0.7518797468793212,1.0601953446351953e-16,7.12703036445217e-19,7.127030371263723e-19,0.0001075790642922664
0.001,-0.7487915851018124,1.6772659974631425e-16,1.1965155837057794e-18,1.1965155850255464e-18,0.00011501887101045647
0.001,-0.7457034233243035,2.6342065716585206e-16,1.9991148918267612e-18,1.999114894369178e-18,0.00012293934999753038
0.001,-0.7426152615467946,4.108634896971467e-16,3.3241406350140556e-18,3.324140639883834e-18,0.00013136909230827877
0.001,-0.7395270997692858,6.366620052297913e-16,5.501179582211851e-18,5.501179591486539e-18,0.0001403382188112879
0.001,-0.7364389379917804,9.804860088931647e-16,9.061071867452383e-18,9.061071885016713e-18,0.0001498784507994104
0.001,-0.7333507762142715,1.5012185732426812e-15,1.485467420548625e-17,1.4854674238562824e-17,0.0001600231831547182
0.001,-0.7302626144367625,2.285890249489665e-15,2.4239236628436063e-17,2.4239236690377412e-17,0.00017080756011730085
0.001,-0.7271744526592537,3.4626081400161736e-15,3.936945534806745e-17,3.936945546341978e-17,0.00018226855370581774
0.001,-0.7240862908817448,5.219196241725626e-15,6.36497803463499e-17,6.364978055998473e-17,0.00019444504483532527
0.001,-0.7209981291042394,7.829970517752776e-15,1.0243391754566014e-16,1.0243391793914869e-16,0.00020737790717579303
0.001,-0.7179099673267305,1.1694057058865266e-14,1.6410141485658e-16,1.6410141557738994e-16,0.00022111009379223966
0.001,-0.7148218055492217,1.7390027597574023e-14,2.6170667549735365e-16,2.6170667681061857e-16,0.00023568672660431077
0.001,-0.7117336437717128,2.5753512736548903e-14,4.1549273357453197e-16,4.15492735954335e-16,0.00025115518870055375
0.001,-0.7086454819942039,3.7987046855278714e-14,6.567051329420675e-16,6.567051372315111e-16,0.0002675652195387879
0.001,-0.7055573202166985,5.5814950947497756e-14,1.0333510509095293e-15,1.0333510585998834e-15,0.0002849690130606046
0.001,-0.7024691584391897,8.170090594529451e-14,1.618855075112916e-15,1.6188550888277704e-15,0.00030342131874408745
0.001,-0.6993809966616807,1.1915245491920877e-13,2.5250079217039592e-15,2.52500794603438e-15,0.0003229795456142093
0.001,-0.6962928348841718,1.7314558690060877e-13,3.921247431857618e-15,3.921247474795001e-15,0.00034370386922643155
0.001,-0.693204673106663,2.5071457318247464e-13,6.063236120167568e-15,6.063236195548764e-15,0.00036565734163341874
0.001,-0.6901165113291576,3.617683648223668e-13,9.335023448174168e-15,9.335023579831756e-15,0.00038890600433991835
0.001,-0.6870283495516487,5.202164438611865e-13,1.4310966734798132e-14,1.431096696356759e-14,0.0004135190042452598
0.001,-0.6839401877741398,7.455157740289062e-13,2.184625761648389e-14,2.1846258011971884e-14,0.00043956871256641553
0.001,-0.680852025996631,1.0647886496823238e-12,3.320867161733597e-14,3.320867229758112e-14,0.00046713084672916644
0.001,-0.677763864219122,1.5157116675124315e-12,5.026945184719721e-14,5.026945301134532e-14,0.0004962845952072481
0.001,-0.6746757024416167,2.1504424290302655e-12,7.577863351038525e-14,7.577863549271253e-14,0.000527112745282772
0.001,-0.6715875406641078,3.04093762875436e-12,1.1376039930210997e-13,1.1376040266088147e-13,0.0005597018136938196
0.001,-0.6684993788865989,4.286129876450294e-12,1.7007828640510884e-13,1.7007829206798623e-13,0.0005941421801264833
0.001,-0.66541121710909,6.021578516437194e-12,2.532396654172358e-13,2.532396749180105e-13,0.0006305282235015998
0.001,-0.6623230553315811,8.43240138908184e-12,3.7553577815401526e-13,3.7553579401607456e-13,0.0006689584609965236
0.001,-0.6592348935540757,1.1770541907859585e-11,5.546502757272227e-13,5.546503020815714e-13,0.000709535689733893
0.001,-0.6561467317765669,1.637774396230475e-11,8.159189714708232e-13,8.159190150471493e-13,0.0007523671310599597
0.001,-0.653058569999058,2.2716014608523224e-11,1.1954907937387374e-12,1.1954908654467912e-12,0.00079756457732421
0.001,-0.6499704082215491,3.140787430937428e-11,1.7447304175884777e-12,1.7447305350289022e-12,0.0008452445410633299
0.001,-0.6468822464440402,4.3289355020056276e-11,2.536324221990785e-12,2.5363244134220846e-12,0.0008955284064803246
0.001,-0.6437940846665349,5.947954250535711e-11,3.6727127034769915e-12,3.6727130140525014e-12,0.0009485425830993435
