index,diagonal_real,diagonal_imag,diagonal_real_hex,diagonal_imag_hex,exact_squared_margin_sign,classification,floating_signed_boundary_distance
129,-7.314179475538076e-12,-1.003778666860351e-11,-0x1.0158459c9f2bcp-37,-0x1.612c5837c0498p-37,1,outside,0.37623560413673895
130,-7.314179475537063e-12,1.0037786668601838e-11,-0x1.0158459c9f049p-37,0x1.612c5837c008dp-37,1,outside,0.376235604154052
131,-1.1238469153489723e-11,-1.235305937656219e-24,-0x1.8b6b218826895p-37,-0x1.7e4f05036bfb7p-80,1,outside,0.37623560414340895
132,5.951855861153714e-12,-4.980910075529526e-12,0x1.a2d31a756558ep-38,-0x1.5e80195ab7930p-38,1,outside,0.37623560414781576
133,5.951855861153714e-12,4.980910075529608e-12,0x1.a2d31a756558ep-38,0x1.5e80195ab7995p-38,1,outside,0.3762356041564068
134,5.9668672944406775e-12,-3.195137134302827e-12,0x1.a3e18679bfdafp-38,-0x1.c1acf27f9a176p-39,1,outside,0.3762356041493634
135,6.805917027750868e-12,-3.948057631738915e-25,0x1.deec806642b84p-38,-0x1.e8bef0cf6fdd2p-82,1,outside,0.37623560415254365
136,5.9668672944421315e-12,3.1951371343015075e-12,0x1.a3e18679c04b7p-38,0x1.c1acf27f994b3p-39,1,outside,0.37623560415487434
137,-1.873281894930607e-12,-4.128602728964961e-12,-0x1.07a417d8cb1d6p-39,-0x1.22864b7b164a4p-38,1,outside,0.37623560414458945
138,-1.8732818949298095e-12,4.128602728968153e-12,-0x1.07a417d8caa20p-39,0x1.22864b7b17414p-38,1,outside,0.3762356041517104
139,-3.966591371129053e-12,-1.1408921679065343e-12,-0x1.171fc1f790a06p-38,-0x1.4121f1d64a517p-40,1,outside,0.37623560414610635
140,-3.966591371144308e-12,1.1408921679079641e-12,-0x1.171fc1f7953cbp-38,0x1.4121f1d64c0bfp-40,1,outside,0.3762356041480741
141,2.3194193963768e-12,2.178821198445951e-24,0x1.466de40095722p-39,0x1.5128000000000p-79,1,outside,0.37623560415027235
142,-4.0878191843327765e-14,-2.2572356667557236e-12,-0x1.7032b16151e3ep-45,-0x1.3dad7c545004cp-39,1,outside,0.376235604147131
143,-4.08781918543259e-14,2.257235666749487e-12,-0x1.7032b162fb5c2p-45,0x1.3dad7c544c3fbp-39,1,outside,0.3762356041510242
144,-2.155215357366184e-12,-7.862852982498916e-23,-0x1.2f51d10f7ef99p-39,-0x1.7c3967c1c6035p-74,1,outside,0.37623560414800716
145,8.108707055711395e-13,1.0987683148421752e-12,0x1.c87ac8c3dc2a4p-41,0x1.354699e673296p-40,1,outside,0.3762356041504563
146,8.108707055596026e-13,-1.098768314858406e-12,0x1.c87ac8c3c0454p-41,-0x1.354699e686c89p-40,1,outside,0.37623560414856116
147,-1.3241358564910326e-12,1.942198679915917e-13,-0x1.74b60b43758a6p-40,0x1.b55821974970dp-43,1,outside,0.37623560414859536
148,-1.3241358560328474e-12,-1.9421986797624562e-13,-0x1.74b60b414ba0fp-40,-0x1.b5582196b505cp-43,1,outside,0.3762356041482604
149,1.854892882185716e-13,-8.828343213197025e-13,0x1.a1af4b6ceaf78p-43,-0x1.f0fdd591dab14p-41,1,outside,0.3762356041484307
150,1.854892882145028e-13,8.828343213376552e-13,0x1.a1af4b6cc39dap-43,0x1.f0fdd59206197p-41,1,outside,0.3762356041499535
151,-7.543317227537126e-13,6.968256133183163e-23,-0x1.a8a6a878feb1cp-41,0x1.50f6d52ca7b82p-74,1,outside,0.3762356041487164
152,-2.981388316217571e-13,-6.847834260931973e-13,-0x1.4facaae6c51f6p-42,-0x1.817fb136d0770p-41,1,outside,0.3762356041483568
153,-2.9813883161708706e-13,6.847834260843578e-13,-0x1.4facaae6ae8a2p-42,0x1.817fb136bb17ap-41,1,outside,0.37623560414953783
154,3.9626298143562745e-13,-4.669631138008047e-13,0x1.be270737bc029p-42,-0x1.06e07a1ab2dfdp-41,1,outside,0.3762356041488961
155,3.962629814353644e-13,4.669631138019446e-13,0x1.be270737babcfp-42,0x1.06e07a1ab5a16p-41,1,outside,0.3762356041497015
156,4.927225345698472e-13,1.468629694361354e-23,0x1.1560ccfd36e66p-41,0x1.1c130522bd590p-76,1,outside,0.37623560414934765
157,-3.467728534409158e-13,-1.0410000743077333e-24,-0x1.866e785108a6cp-42,-0x1.422c85e790045p-80,1,outside,0.37623560414892265
158,-3.634630140002279e-14,-3.4490383415625916e-13,-0x1.4760dd703f73ep-45,-0x1.8453c308ee55cp-42,1,outside,0.3762356041487823
159,-3.6346301397233744e-14,3.449038341513096e-13,-0x1.4760dd6fd38e8p-45,0x1.8453c308d6668p-42,1,outside,0.3762356041493773
160,2.046121311704215e-13,-2.2363419526836044e-13,0x1.ccbedcf1d261fp-43,-0x1.f794562145491p-43,1,outside,0.37623560414900903
161,2.046121311682252e-13,2.2363419526139327e-13,0x1.ccbedcf1bd243p-43,0x1.f794562101e73p-43,1,outside,0.3762356041493946
162,2.813306330673462e-13,-5.3398898727603074e-14,0x1.3cc008c0ce937p-42,-0x1.e0f97a325927fp-45,1,outside,0.37623560414919455
163,2.813306330972119e-13,5.3398898726200776e-14,0x1.3cc008c15eff6p-42,0x1.e0f97a3222e84p-45,1,outside,0.3762356041492867
164,-1.3761402415627182e-13,-1.7709919427549033e-13,-0x1.35e11579fcb4dp-43,-0x1.8ecabc1984b36p-43,1,outside,0.3762356041488758
165,-1.3761402415918962e-13,1.770991942762025e-13,-0x1.35e1157a18ecfp-43,0x1.8ecabc198b96ap-43,1,outside,0.3762356041491812
166,1.0884068061716889e-13,5.373644755718631e-24,0x1.ea2cc2e1e8665p-44,0x1.9fc4000000000p-78,1,outside,0.37623560414915336
167,-1.0030001076795405e-14,-9.071914438748545e-14,-0x1.695e6e7440105p-47,-0x1.98900d6cf60f5p-44,1,outside,0.3762356041490149
168,-1.003000107590348e-14,9.071914438698707e-14,-0x1.695e6e73b60b9p-47,0x1.98900d6cec6b7p-44,1,outside,0.37623560414917134
169,-6.69649505842979e-14,-3.823729975487971e-14,-0x1.2d9554e2a9353p-44,-0x1.586935d840953p-45,1,outside,0.37623560414903146
170,-6.696495058895375e-14,3.823729975061605e-14,-0x1.2d9554e30343dp-44,0x1.586935d79ba3fp-45,1,outside,0.3762356041490973
171,5.558706833120023e-14,-2.2459696665054037e-14,0x1.f4af0d8bc8a91p-45,-0x1.949911afc62b8p-46,1,outside,0.37623560414910706
172,5.5587068332179764e-14,2.24596966674013e-14,0x1.f4af0d8bee8dep-45,0x1.949911b07bc7dp-46,1,outside,0.3762356041491457
173,-2.324030678696573e-14,-4.769750858314616e-14,-0x1.a2a8ff74a1ca5p-46,-0x1.ad9ef77b2e95cp-45,1,outside,0.37623560414904533
174,-2.3240306788540507e-14,4.769750857995155e-14,-0x1.a2a8ff751ba20p-46,0x1.ad9ef77ab2ffep-45,1,outside,0.3762356041491276
175,-4.962823070609823e-14,3.734731035743768e-24,-0x1.bf02e8a94c994p-45,0x1.20f5f828175a6p-78,1,outside,0.3762356041490731
176,9.7919482334309e-15,-3.473367252302588e-14,0x1.60cac811dcbb7p-47,-0x1.38da655e64018p-45,1,outside,0.3762356041490732
177,9.79194823516695e-15,3.4733672521995265e-14,0x1.60cac812e95f8p-47,0x1.38da655e3c22dp-45,1,outside,0.37623560414913315
178,-4.2870971304268884e-15,-2.7786603168719895e-14,-0x1.34eafbcc2b39dp-48,-0x1.f48f16de83461p-46,1,outside,0.3762356041490721
179,-4.2870971292686284e-15,2.7786603169869994e-14,-0x1.34eafbcac4c30p-48,0x1.f48f16dedc422p-46,1,outside,0.37623560414912005
180,-2.269087923874595e-14,-6.991958464626774e-26,-0x1.98c335e55e8fbp-46,-0x1.5a399a7b578e5p-84,1,outside,0.37623560414908674
181,1.7926567475010084e-14,6.733132174050995e-26,0x1.42efb35966a01p-46,0x1.4d689725aaff8p-84,1,outside,0.3762356041491073
182,8.129663504752682e-15,-1.4593524180690664e-14,0x1.24e6e939d64eap-47,-0x1.06e4c05d4d459p-46,1,outside,0.37623560414908974
183,8.129663505760191e-15,1.4593524180135467e-14,0x1.24e6e93a72363p-47,0x1.06e4c05d2250cp-46,1,outside,0.37623560414911483
184,-4.682513191641577e-16,-1.373684536317372e-14,-0x1.0dedb2ae73046p-51,-0x1.eeec090fcc0f0p-47,1,outside,0.3762356041490862
185,-4.682513202312968e-16,1.3736845363478653e-14,-0x1.0dedb2b8c5202p-51,0x1.eeec090ffb3eap-47,1,outside,0.37623560414910984
