u,rank_by_modulus,real,imag,modulus,condition_number
1.425,8,0.2008285322520859,-0.013510288263257245,0.20128245640264683,36.10198903319192
1.425,9,-0.06529819158342257,0.0,0.06529819158342257,119.3703477927911
1.425,10,0.05722504461062618,0.0,0.05722504461062618,99.38874050196102
1.425,11,-0.0459021885533188,0.0,0.0459021885533188,79.36397232476806
1.425,12,0.00014849883114073474,0.03757687518812805,0.03757716861083341,294.1955599067324
1.4300000000000002,1,-0.9985682331912102,0.0,0.9985682331912102,1.2044345098896783
1.4300000000000002,2,6.84585597511278e-05,0.7250663920557265,0.7250663952875509,1.4427580200321086
1.4300000000000002,3,6.84585597511278e-05,-0.7250663920557265,0.7250663952875509,1.4427580200321086
1.4300000000000002,4,0.6149783466154641,0.0,0.6149783466154641,1.939452703117901
1.4300000000000002,5,-0.3328665483054564,0.0,0.3328665483054564,4.104068345507503
1.4300000000000002,6,-0.2412571365313069,0.0,0.2412571365313069,6.954622382535104
1.4300000000000002,7,0.2011918406457467,0.0,0.2011918406457467,61.254461914949026
1.4300000000000002,8,0.18282138377720528,0.0,0.18282138377720528,71.50690975241353
1.4300000000000002,9,0.06270585964730153,0.0,0.06270585964730153,89.81505724862625
1.4300000000000002,10,-0.05389711879953154,0.009254962454409946,0.05468595564606468,176.31736201170045
1.4300000000000002,11,-0.05389711879953154,-0.009254962454409946,0.05468595564606468,176.31736201170045
1.4300000000000002,12,9.38934058586536e-05,0.03649238280702601,0.036492503598769314,334.7693784046542
1.435,1,-0.9982710423109865,0.0,0.9982710423109865,1.1956248777740857
1.435,2,6.263310273423028e-05,0.7236332426357184,0.7236332453462804,1.469956134124224
1.435,3,6.263310273423028e-05,-0.7236332426357184,0.7236332453462804,1.469956134124224
1.435,4,0.6107007939065652,0.0,0.6107007939065652,1.9192822690015148
1.435,5,-0.3207095096625283,0.0,0.3207095096625283,4.3976501163239945
1.435,6,-0.23877933570045967,0.0,0.23877933570045967,7.586901526267751
1.435,7,0.2038532835491507,0.0,0.2038532835491507,30.145026292322534
1.435,8,0.15924442263191146,0.0,0.15924442263191146,44.87490196471136
1.435,9,0.0710650331466184,0.0,0.0710650331466184,73.23509515660865
1.435,10,-0.0525147895216265,0.014271400469657932,0.054419444961025513,180.75393512062558
1.435,11,-0.0525147895216265,-0.014271400469657932,0.054419444961025513,180.75393512062558
1.435,12,-7.909430978195707e-05,0.03560623134807008,0.035606319196487136,370.98487586000357
1.4400000000000002,1,-0.9979199951617477,0.0,0.9979199951617477,1.1871228660376008
1.4400000000000002,2,4.77921258189018e-05,0.7216901291083656,0.7216901306908227,1.500560354617664
1.4400000000000002,3,4.77921258189018e-05,-0.7216901291083656,0.7216901306908227,1.500560354617664
1.4400000000000002,4,0.6060470519857453,0.0,0.6060470519857453,1.9023816119422647
1.4400000000000002,5,-0.3071603774922236,0.0,0.3071603774922236,4.915977064802733
1.4400000000000002,6,-0.23608364551295072,0.0,0.23608364551295072,8.453295197659381
1.4400000000000002,7,0.20303804728559344,0.0,0.20303804728559344,24.785820391451388
1.4400000000000002,8,0.1315882751495557,0.0,0.1315882751495557,56.95321288613822
1.4400000000000002,9,0.08645136125252359,0.0,0.08645136125252359,50.46648137892067
1.4400000000000002,10,-0.05144379888110156,0.0157538149694951,0.053801924960100764,220.05347798109077
1.4400000000000002,11,-0.05144379888110156,-0.0157538149694951,0.053801924960100764,220.05347798109077
1.4400000000000002,12,-0.0003987889511285663,0.034918708576624255,0.034920985686070695,403.6315221305151
1.445,1,-0.9975071862661123,0.0,0.9975071862661123,1.178953200830342
1.445,2,1.989016915485836e-05,0.7192381093420906,0.719238109617117,1.534887851484525
1.445,3,1.989016915485836e-05,-0.7192381093420906,0.719238109617117,1.534887851484525
1.445,4,0.6009747622133532,0.0,0.6009747622133532,1.8891579953294282
1.445,5,-0.29192567608755005,0.0,0.29192567608755005,5.91817962424955
1.445,6,-0.23325420701778873,0.0,0.23325420701778873,9.796842652669401
1.445,7,0.20103902964130674,0.0,0.20103902964130674,22.984222791478626
1.445,8,0.10315438608792771,0.028855926298731453,0.10711438676356727,54.268116404753826
1.445,9,0.10315438608792771,-0.028855926298731453,0.10711438676356727,54.268116404753826
1.445,10,-0.05071569375102504,0.014493386148084977,0.05274599354155026,299.35291244568856
1.445,11,-0.05071569375102504,-0.014493386148084977,0.05274599354155026,299.35291244568856
1.445,12,-0.0008665811502775811,0.03442131626417778,0.034432222935043943,434.5374255037505
1.4500000000000002,1,-0.9970239278065304,0.0,0.9970239278065304,1.1711411786153016
1.4500000000000002,2,-2.6389412572297433e-05,0.7162795699389657,0.7162795704250895,1.573298110309644
1.4500000000000002,3,-2.6389412572297433e-05,-0.7162795699389657,0.7162795704250895,1.573298110309644
1.4500000000000002,4,0.5954381285983728,0.0,0.5954381285983728,1.8801056963031946
1.4500000000000002,5,-0.27450693118503744,0.0,0.27450693118503744,8.229172770337145
1.4500000000000002,6,-0.23048651679080032,0.0,0.23048651679080032,12.416782929702878
1.4500000000000002,7,0.19836615293513976,0.0,0.19836615293513976,22.542668341126234
1.4500000000000002,8,0.0972597924145591,0.04573284680802798,0.10747539484779613,51.683714925917485
1.4500000000000002,9,0.0972597924145591,-0.04573284680802798,0.10747539484779613,51.683714925917485
1.4500000000000002,10,-0.05043654011130322,0.009023224927082261,0.0512373220073397,572.7369334346558
1.4500000000000002,11,-0.05043654011130322,-0.009023224927082261,0.0512373220073397,572.7369334346558
1.4500000000000002,12,-0.0014557260874290294,0.0341122113449378,0.03414325850418094,464.8733636531617
1.455,1,-0.9964607367186016,0.0,0.9964607367186016,1.1637123695208706
1.455,2,-9.793465925415912e-05,0.712818334115027,0.7128183408426861,1.6161984962091551
1.455,3,-9.793465925415912e-05,-0.712818334115027,0.7128183408426861,1.6161984962091551
1.455,4,0.5893875326552541,0.0,0.5893875326552541,1.8758350417088974
1.455,5,-0.2536467052298492,0.0,0.2536467052298492,16.513956662007736
1.455,6,-0.2285570744240487,0.0,0.2285570744240487,20.987436377997888
1.455,7,0.19524134817624872,0.0,0.19524134817624872,22.843929547515053
1.455,8,0.0911956464246432,0.057056055778509834,0.10757341413104338,52.92754015248563
1.455,9,0.0911956464246432,-0.057056055778509834,0.10757341413104338,52.92754015248563
1.455,10,-0.06299834410586172,0.0,0.06299834410586172,441.9789425183403
1.455,11,-0.03867873321801245,0.0,0.03867873321801245,541.6082883701399
1.455,12,-0.0021080304836876653,0.033995874207804075,0.03406116932333643,493.7214317032637
1.46,1,-0.995807331258356,0.0,0.995807331258356,1.1566923162634941
1.46,2,-0.00020355074769703996,0.7088597818451663,0.7088598110702028,1.6640505428916845
1.46,3,-0.00020355074769703996,-0.7088597818451663,0.7088598110702028,1.6640505428916845
1.46,4,0.5827690244639945,0.0,0.5827690244639945,1.8771117763756295
1.46,5,-0.22796813760241735,0.008908697955972954,0.22814214135311664,32.94268110445398
1.46,6,-0.22796813760241735,-0.008908697955972954,0.22814214135311664,32.94268110445398
1.46,7,0.19179314740777337,0.0,0.19179314740777337,23.650265529616195
1.46,8,0.08487962073470912,0.06560705306620139,0.10727924043401606,55.77731587227858
1.46,9,0.08487962073470912,-0.06560705306620139,0.10727924043401606,55.77731587227858
1.46,10,-0.07474833896161852,0.0,0.07474833896161852,253.34155942046968
1.46,11,-0.0027327700298518413,0.034061976886422284,0.03417142521826127,517.7549032189096
1.46,12,-0.0027327700298518413,-0.034061976886422284,0.03417142521826127,517.7549032189096
1.465,1,-0.9950526375781713,0.0,0.9950526375781713,1.1501062546168304
1.465,2,-0.00035434938666276117,0.704410988724728,0.7044110778513045,1.7173769154078948
1.465,3,-0.00035434938666276117,-0.704410988724728,0.7044110778513045,1.7173769154078948
1.465,4,0.5755236475768398,0.0,0.5755236475768398,1.8849113012843206
1.465,5,-0.2120879345579056,0.01167757151931772,0.21240917508814733,37.80287056391842
1.465,6,-0.2120879345579056,-0.01167757151931772,0.21240917508814733,37.80287056391842
1.465,7,0.18811142044262474,0.0,0.18811142044262474,24.855758871165293
1.465,8,0.07825652922311185,0.07219614706349972,0.10647238147455067,60.18256868456792
1.465,9,0.07825652922311185,-0.07219614706349972,0.10647238147455067,60.18256868456792
1.465,10,-0.08852839090211972,0.0,0.08852839090211972,191.1049218828147
1.465,11,-0.0032284888848645825,0.03425295075704343,0.03440476385682855,533.7861715173739
1.465,12,-0.0032284888848645825,-0.03425295075704343,0.03440476385682855,533.7861715173739
1.47,1,-0.9941848065594068,0.0,0.9941848065594068,1.143978885836409
1.47,2,-0.0005641750745871976,0.6994808944667973,0.699481121987996,1.776768834661751
1.47,3,-0.0005641750745871976,-0.6994808944667973,0.699481121987996,1.776768834661751
1.47,4,0.5675865392986617,0.0,0.5675865392986617,1.9004948977706786
1.47,5,-0.20728353042480893,0.0,0.20728353042480893,38.1372903134118
1.47,6,0.18426850850103055,0.0,0.18426850850103055,26.40866460974085
1.47,7,-0.17085125051753458,0.0,0.17085125051753458,85.61992295450614
1.47,8,-0.1139051802205023,0.0,0.1139051802205023,193.81977792308538
1.47,9,0.07128595802179405,0.07712141847240672,0.10502095504365336,66.55419741113481
1.47,10,0.07128595802179405,-0.07712141847240672,0.10502095504365336,66.55419741113481
1.47,11,-0.003532918511218509,0.03445939193481729,0.03464002317730549,543.0040668492965
1.47,12,-0.003532918511218509,-0.03445939193481729,0.03464002317730549,543.0040668492965
1.475,1,-0.9931912408491392,0.0,0.9931912408491392,1.1383342344737744
1.475,2,-0.0008500538804747521,0.6940805188220216,0.694081039360568,1.8428934386714662
1.475,3,-0.0008500538804747521,-0.6940805188220216,0.694081039360568,1.8428934386714662
1.475,4,0.5588857236471606,0.0,0.5588857236471606,1.9255193682536271
1.475,5,-0.20538192875567965,0.0,0.20538192875567965,23.175335606235254
1.475,6,0.18032920140730263,0.0,0.18032920140730263,28.27860846496787
